activity,id,rectime,total_adult_utt,total_child_utt,total_adult_resp,total_adult_imitexp,prop_adultresp_outof_childutt,prop_adult_imitexp_outof_childutt,language,segment_num
ac,7791,3407,100,71,71,15,1,0.2112676056338028,spanish,5
ods,7791,3407,115,37,50,2,1.3513513513513513,0.05405405405405406,spanish,5
conv,7791,35989,152,52,67,21,1.2884615384615385,0.40384615384615385,spanish,7
ods,7791,35989,0,1,0,0,0,0,spanish,7
ac,7795,16610,1,1,0,0,0,0,spanish,11
conv,7795,16610,43,8,18,1,2.25,0.125,spanish,11
ods,7795,16610,46,23,23,2,1,0.08695652173913043,spanish,11
play,7795,16610,64,20,27,6,1.35,0.3,spanish,11
ac,7795,38573,11,0,0,0,NaN,NaN,spanish,2
conv,7795,38573,13,3,7,0,2.3333333333333335,0,spanish,2
ods,7795,38573,127,16,20,0,1.25,0,spanish,2
play,7795,38573,22,8,18,9,2.25,1.125,spanish,2
ac,7795,8838,78,29,54,9,1.8620689655172413,0.3103448275862069,spanish,21
conv,7795,8838,50,5,17,1,3.4,0.2,spanish,21
ods,7795,8838,0,10,0,0,0,0,spanish,21
ac,7795,34073,79,61,70,14,1.1475409836065573,0.22950819672131148,spanish,22
ods,7795,34073,6,9,4,0,0.4444444444444444,0,spanish,22
routines,7795,34073,12,5,10,1,2,0.2,spanish,22
ac,7795,40073,2,0,0,0,NaN,NaN,spanish,23
food,7795,40073,33,15,23,1,1.5333333333333334,0.06666666666666667,spanish,23
ods,7795,40073,85,23,20,0,0.8695652173913043,0,spanish,23
ac,7795,5538,56,9,20,3,2.2222222222222223,0.3333333333333333,spanish,5
conv,7795,5538,44,10,26,13,2.6,1.3,spanish,5
ods,7795,5538,92,4,9,0,2.25,0,spanish,5
ac,7812,33868,46,7,15,7,2.142857142857143,1,spanish,1
conv,7812,33868,18,1,3,0,3,0,spanish,1
ods,7812,33868,89,11,23,3,2.090909090909091,0.2727272727272727,spanish,1
play,7812,33868,76,4,10,7,2.5,1.75,spanish,1
ods,7812,30868,11,4,7,0,1.75,0,spanish,4
routines,7812,30868,175,26,71,33,2.730769230769231,1.2692307692307692,spanish,4
ac,7812,17247,24,7,14,9,2,1.2857142857142858,spanish,5
conv,7812,17247,32,3,11,2,3.6666666666666665,0.6666666666666666,spanish,5
food,7812,17247,12,3,8,3,2.6666666666666665,1,spanish,5
ods,7812,17247,162,9,18,9,2,1,spanish,5
ac,7812,16647,8,0,0,0,NaN,NaN,spanish,6
conv,7812,16647,45,7,20,10,2.857142857142857,1.4285714285714286,spanish,6
ods,7812,16647,97,2,7,2,3.5,1,spanish,6
play,7812,16647,18,4,7,0,1.75,0,spanish,6
routines,7812,16647,40,14,26,12,1.8571428571428572,0.8571428571428571,spanish,6
conv,7812,27868,80,9,25,5,2.7777777777777777,0.5555555555555556,spanish,7
ods,7812,27868,15,5,3,0,0.6,0,spanish,7
play,7812,27868,11,0,0,0,NaN,NaN,spanish,7
routines,7812,27868,27,11,14,5,1.2727272727272727,0.45454545454545453,spanish,7
ac,7812,13047,47,22,36,21,1.6363636363636365,0.9545454545454546,spanish,8
food,7812,13047,124,48,86,37,1.7916666666666667,0.7708333333333334,spanish,8
ods,7812,13047,0,1,0,0,0,0,spanish,8
conv,7881,24195,7,0,0,0,NaN,NaN,spanish,1
ods,7881,24195,35,0,0,0,NaN,NaN,spanish,1
play,7881,24195,124,24,74,7,3.0833333333333335,0.2916666666666667,spanish,1
ac,7881,53030,23,16,19,1,1.1875,0.0625,spanish,14
ods,7881,53030,48,9,14,0,1.5555555555555556,0,spanish,14
ac,7881,47030,21,6,11,1,1.8333333333333333,0.16666666666666666,spanish,16
ods,7881,47030,117,21,37,2,1.7619047619047619,0.09523809523809523,spanish,16
books,7881,25395,52,16,38,2,2.375,0.125,spanish,2
ods,7881,25395,3,1,0,0,0,0,spanish,2
play,7881,25395,70,15,45,7,3,0.4666666666666667,spanish,2
ac,7881,26295,3,2,2,1,1,0.5,spanish,3
books,7881,26295,72,15,32,0,2.1333333333333333,0,spanish,3
ods,7881,26295,23,4,8,0,2,0,spanish,3
play,7881,26295,43,3,11,0,3.6666666666666665,0,spanish,3
ac,7881,24795,2,0,0,0,NaN,NaN,spanish,4
ods,7881,24795,34,4,14,1,3.5,0.25,spanish,4
play,7881,24795,108,27,74,8,2.740740740740741,0.2962962962962963,spanish,4
conv,7908,20493,38,5,14,4,2.8,0.8,spanish,2
ods,7908,20493,2,5,2,0,0.4,0,spanish,2
play,7908,20493,88,50,64,17,1.28,0.34,spanish,2
food,7908,1293,54,16,26,7,1.625,0.4375,spanish,3
ods,7908,1293,60,4,8,0,2,0,spanish,3
ac,7908,21993,21,30,13,5,0.43333333333333335,0.16666666666666666,spanish,5
conv,7908,21993,32,19,27,6,1.4210526315789473,0.3157894736842105,spanish,5
ods,7908,21993,10,7,7,1,1,0.14285714285714285,spanish,5
routines,7908,21993,14,8,10,0,1.25,0,spanish,5
ac,7908,9993,42,18,31,3,1.7222222222222223,0.16666666666666666,spanish,6
conv,7908,9993,4,0,0,0,NaN,NaN,spanish,6
ods,7908,9993,22,18,13,0,0.7222222222222222,0,spanish,6
conv,7908,21093,64,27,45,4,1.6666666666666667,0.14814814814814814,spanish,7
ods,7908,21093,0,4,0,0,0,0,spanish,7
play,7908,21093,6,1,5,2,5,2,spanish,7
ac,7908,17193,30,29,28,2,0.9655172413793104,0.06896551724137931,spanish,8
conv,7908,17193,30,29,27,4,0.9310344827586207,0.13793103448275862,spanish,8
ods,7908,17193,9,5,7,0,1.4,0,spanish,8
ac,7912,20268,36,18,24,4,1.3333333333333333,0.2222222222222222,spanish,10
conv,7912,20268,34,19,21,7,1.105263157894737,0.3684210526315789,spanish,10
ods,7912,20268,0,4,0,0,0,0,spanish,10
routines,7912,20268,5,1,3,0,3,0,spanish,10
ods,7912,9800,0,1,0,0,0,0,spanish,4
play,7912,9800,128,80,121,45,1.5125,0.5625,spanish,4
ods,7912,14300,0,2,0,0,0,0,spanish,5
play,7912,14300,121,89,106,30,1.1910112359550562,0.33707865168539325,spanish,5
ac,7912,20868,7,4,3,1,0.75,0.25,spanish,6
conv,7912,20868,68,50,60,25,1.2,0.5,spanish,6
ods,7912,20868,0,2,0,0,0,0,spanish,6
ac,7912,17000,4,2,0,0,0,0,spanish,7
ods,7912,17000,60,5,5,2,1,0.4,spanish,7
play,7912,17000,69,22,34,6,1.5454545454545454,0.2727272727272727,spanish,7
routines,7912,17000,6,1,1,0,1,0,spanish,7
ac,7912,11600,4,4,3,0,0.75,0,spanish,8
food,7912,11600,102,61,93,30,1.5245901639344261,0.4918032786885246,spanish,8
ods,7912,11600,1,11,1,0,0.09090909090909091,0,spanish,8
books,7915,896,258,66,165,23,2.5,0.3484848484848485,spanish,1
ods,7915,896,0,1,0,0,0,0,spanish,1
food,7915,19315,141,41,62,13,1.5121951219512195,0.3170731707317073,spanish,2
ods,7915,19315,0,1,0,0,0,0,spanish,2
ac,7915,13110,27,5,9,3,1.8,0.6,spanish,3
books,7915,13110,100,25,57,10,2.28,0.4,spanish,3
ods,7915,13110,25,7,11,0,1.5714285714285714,0,spanish,3
ac,7915,17639,3,1,1,0,1,0,spanish,4
conv,7915,17639,73,11,28,2,2.5454545454545454,0.18181818181818182,spanish,4
ods,7915,17639,95,2,5,0,2.5,0,spanish,4
ods,7915,6397,50,17,18,0,1.0588235294117647,0,spanish,5
play,7915,6397,93,58,81,17,1.396551724137931,0.29310344827586204,spanish,5
ods,7915,22501,19,11,8,1,0.7272727272727273,0.09090909090909091,spanish,7
play,7915,22501,115,95,98,10,1.0315789473684212,0.10526315789473684,spanish,7
ac,7920,18939,5,1,2,0,2,0,spanish,11
food,7920,18939,23,4,8,0,2,0,spanish,11
ods,7920,18939,2,4,2,0,0.5,0,spanish,11
routines,7920,18939,76,23,43,11,1.8695652173913044,0.4782608695652174,spanish,11
ac,7920,56992,30,5,11,2,2.2,0.4,spanish,2
conv,7920,56992,64,8,26,2,3.25,0.25,spanish,2
ods,7920,56992,199,10,26,0,2.6,0,spanish,2
routines,7920,56992,35,1,5,3,5,3,spanish,2
conv,7920,17149,32,5,11,2,2.2,0.4,spanish,3
food,7920,17149,9,1,2,0,2,0,spanish,3
ods,7920,17149,7,8,7,1,0.875,0.125,spanish,3
routines,7920,17149,151,63,110,20,1.746031746031746,0.31746031746031744,spanish,3
ac,7920,48892,13,0,0,0,NaN,NaN,spanish,4
conv,7920,48892,38,9,16,2,1.7777777777777777,0.2222222222222222,spanish,4
ods,7920,48892,130,5,7,0,1.4,0,spanish,4
routines,7920,48892,48,6,16,2,2.6666666666666665,0.3333333333333333,spanish,4
ac,7920,50261,1,0,0,0,NaN,NaN,spanish,6
ods,7920,50261,159,18,32,0,1.7777777777777777,0,spanish,6
play,7920,50261,72,17,43,10,2.5294117647058822,0.5882352941176471,spanish,6
conv,7920,47392,108,28,47,5,1.6785714285714286,0.17857142857142858,spanish,8
ods,7920,47392,15,11,10,1,0.9090909090909091,0.09090909090909091,spanish,8
books,7949,11063,242,29,80,10,2.7586206896551726,0.3448275862068966,spanish,1
ods,7949,11063,0,1,0,0,0,0,spanish,1
books,7949,29105,266,17,49,5,2.8823529411764706,0.29411764705882354,spanish,2
ods,7949,29105,52,2,5,0,2.5,0,spanish,2
books,7949,11963,129,19,43,5,2.263157894736842,0.2631578947368421,spanish,3
ods,7949,11963,0,1,0,0,0,0,spanish,3
routines,7949,11963,64,12,30,9,2.5,0.75,spanish,3
ac,7949,10463,10,3,4,0,1.3333333333333333,0,spanish,4
books,7949,10463,146,15,41,5,2.7333333333333334,0.3333333333333333,spanish,4
ods,7949,10463,0,1,0,0,0,0,spanish,4
play,7949,10463,33,9,20,6,2.2222222222222223,0.6666666666666666,spanish,4
books,7949,30005,182,41,62,7,1.5121951219512195,0.17073170731707318,spanish,5
ods,7949,30005,15,0,0,0,NaN,NaN,spanish,5
books,7949,28505,144,27,69,6,2.5555555555555554,0.2222222222222222,spanish,6
conv,7949,28505,4,2,3,1,1.5,0.5,spanish,6
ods,7949,28505,44,4,5,1,1.25,0.25,spanish,6
play,7949,28505,51,14,11,0,0.7857142857142857,0,spanish,6
ac,7963,4336,16,2,3,1,1.5,0.5,spanish,21
food,7963,4336,29,25,25,5,1,0.2,spanish,21
ods,7963,4336,46,6,7,0,1.1666666666666667,0,spanish,21
ac,7963,0,3,0,0,0,NaN,NaN,spanish,28
conv,7963,0,4,0,0,0,NaN,NaN,spanish,28
ods,7963,0,0,1,0,0,0,0,spanish,28
play,7963,0,59,15,34,3,2.2666666666666666,0.2,spanish,28
ac,7963,8836,27,15,21,4,1.4,0.26666666666666666,spanish,3
ods,7963,8836,35,12,4,0,0.3333333333333333,0,spanish,3
ac,7963,38784,44,10,17,1,1.7,0.1,spanish,30
ods,7963,38784,59,14,9,0,0.6428571428571429,0,spanish,30
ac,7963,43070,2,0,0,0,NaN,NaN,spanish,31
conv,7963,43070,17,1,4,1,4,1,spanish,31
food,7963,43070,20,7,13,2,1.8571428571428572,0.2857142857142857,spanish,31
ods,7963,43070,31,10,5,0,0.5,0,spanish,31
ac,7963,7636,9,2,3,1,1.5,0.5,spanish,4
conv,7963,7636,9,7,8,3,1.1428571428571428,0.42857142857142855,spanish,4
ods,7963,7636,21,12,7,0,0.5833333333333334,0,spanish,4
play,7963,7636,96,14,28,2,2,0.14285714285714285,spanish,4
food,7969,32961,62,9,22,3,2.4444444444444446,0.3333333333333333,spanish,10
ods,7969,32961,95,1,2,0,2,0,spanish,10
ac,7969,45917,3,0,0,0,NaN,NaN,spanish,14
food,7969,45917,73,8,28,4,3.5,0.5,spanish,14
ods,7969,45917,53,2,4,0,2,0,spanish,14
food,7969,3601,64,3,12,2,4,0.6666666666666666,spanish,16
ods,7969,3601,34,2,9,0,4.5,0,spanish,16
ac,7969,23787,72,12,36,1,3,0.08333333333333333,spanish,17
conv,7969,23787,16,0,0,0,NaN,NaN,spanish,17
ods,7969,23787,32,5,10,0,2,0,spanish,17
ac,7969,55817,57,5,19,1,3.8,0.2,spanish,6
ods,7969,55817,119,5,4,1,0.8,0.2,spanish,6
ac,7969,51317,10,0,0,0,NaN,NaN,spanish,7
conv,7969,51317,14,0,0,0,NaN,NaN,spanish,7
ods,7969,51317,82,7,3,0,0.42857142857142855,0,spanish,7
play,7969,51317,50,2,7,1,3.5,0.5,spanish,7
books,7995,13566,182,54,124,36,2.2962962962962963,0.6666666666666666,spanish,1
conv,7995,13566,27,19,25,10,1.3157894736842106,0.5263157894736842,spanish,1
ods,7995,13566,6,4,5,0,1.25,0,spanish,1
conv,7995,14166,189,66,129,27,1.9545454545454546,0.4090909090909091,spanish,2
ods,7995,14166,19,7,12,1,1.7142857142857142,0.14285714285714285,spanish,2
conv,7995,12366,133,40,71,13,1.775,0.325,spanish,3
ods,7995,12366,46,6,10,0,1.6666666666666667,0,spanish,3
conv,7995,11766,61,22,37,4,1.6818181818181819,0.18181818181818182,spanish,4
food,7995,11766,32,13,21,2,1.6153846153846154,0.15384615384615385,spanish,4
ods,7995,11766,7,4,1,0,0.25,0,spanish,4
ac,7995,16266,9,3,5,1,1.6666666666666667,0.3333333333333333,spanish,5
conv,7995,16266,83,45,76,17,1.6888888888888889,0.37777777777777777,spanish,5
ods,7995,16266,14,13,9,1,0.6923076923076923,0.07692307692307693,spanish,5
routines,7995,16266,34,13,23,1,1.7692307692307692,0.07692307692307693,spanish,5
ac,7995,42420,90,51,68,19,1.3333333333333333,0.37254901960784315,spanish,6
ods,7995,42420,0,1,0,0,0,0,spanish,6
books,8022,4568,180,65,140,45,2.1538461538461537,0.6923076923076923,spanish,1
books,8022,5168,85,32,71,15,2.21875,0.46875,spanish,3
food,8022,5168,33,29,32,9,1.103448275862069,0.3103448275862069,spanish,3
ods,8022,5168,0,4,0,0,0,0,spanish,3
ac,8022,11468,11,4,5,0,1.25,0,spanish,4
conv,8022,11468,7,6,6,4,1,0.6666666666666666,spanish,4
ods,8022,11468,33,13,30,5,2.3076923076923075,0.38461538461538464,spanish,4
play,8022,11468,113,52,95,19,1.8269230769230769,0.36538461538461536,spanish,4
ac,8022,8468,46,7,18,2,2.5714285714285716,0.2857142857142857,spanish,5
conv,8022,8468,4,3,4,1,1.3333333333333333,0.3333333333333333,spanish,5
ods,8022,8468,165,8,19,0,2.375,0,spanish,5
ac,8022,12668,28,13,24,5,1.8461538461538463,0.38461538461538464,spanish,6
ods,8022,12668,30,13,16,1,1.2307692307692308,0.07692307692307693,spanish,6
play,8022,12668,77,37,57,14,1.5405405405405406,0.3783783783783784,spanish,6
books,8022,3968,54,26,53,18,2.0384615384615383,0.6923076923076923,spanish,7
food,8022,3968,57,30,46,9,1.5333333333333334,0.3,spanish,7
ac,8048,6406,64,45,44,10,0.9777777777777777,0.2222222222222222,spanish,10
ods,8048,6406,62,14,26,5,1.8571428571428572,0.35714285714285715,spanish,10
conv,8048,406,127,110,122,28,1.1090909090909091,0.2545454545454545,spanish,4
ods,8048,406,0,1,0,0,0,0,spanish,4
conv,8048,49403,62,20,35,2,1.75,0.1,spanish,5
ods,8048,49403,36,6,13,0,2.1666666666666665,0,spanish,5
play,8048,49403,8,5,5,0,1,0,spanish,5
routines,8048,49403,39,7,20,2,2.857142857142857,0.2857142857142857,spanish,5
conv,8048,4306,23,15,21,2,1.4,0.13333333333333333,spanish,6
ods,8048,4306,13,4,0,0,0,0,spanish,6
play,8048,4306,61,32,43,6,1.34375,0.1875,spanish,6
ac,8048,16627,54,19,25,8,1.3157894736842106,0.42105263157894735,spanish,7
ods,8048,16627,92,17,14,1,0.8235294117647058,0.058823529411764705,spanish,7
conv,8048,1606,81,45,62,12,1.3777777777777778,0.26666666666666666,spanish,9
ods,8048,1606,0,3,0,0,0,0,spanish,9
conv,8058,19507,19,17,15,1,0.8823529411764706,0.058823529411764705,spanish,13
ods,8058,19507,0,6,0,0,0,0,spanish,13
ac,8058,2609,43,26,23,1,0.8846153846153846,0.038461538461538464,spanish,14
ods,8058,2609,8,2,3,0,1.5,0,spanish,14
ac,8058,10807,21,33,19,3,0.5757575757575758,0.09090909090909091,spanish,15
ods,8058,10807,5,5,0,0,0,0,spanish,15
ac,8058,20107,13,15,12,5,0.8,0.3333333333333333,spanish,16
ods,8058,20107,0,3,0,0,0,0,spanish,16
routines,8058,20107,17,10,13,0,1.3,0,spanish,16
ac,8058,17107,21,18,18,3,1,0.16666666666666666,spanish,17
ods,8058,17107,0,8,0,0,0,0,spanish,17
ac,8058,0,5,2,4,1,2,0.5,spanish,18
ods,8058,0,0,2,0,0,0,0,spanish,18
routines,8058,0,13,9,10,1,1.1111111111111112,0.1111111111111111,spanish,18
ac,8098,13223,1,2,1,1,0.5,0.5,spanish,11
ods,8098,13223,3,3,3,0,1,0,spanish,11
play,8098,13223,146,31,61,23,1.967741935483871,0.7419354838709677,spanish,11
ac,8098,28523,5,6,4,3,0.6666666666666666,0.5,spanish,15
conv,8098,28523,28,0,0,0,NaN,NaN,spanish,15
ods,8098,28523,39,8,4,0,0.5,0,spanish,15
routines,8098,28523,38,4,6,4,1.5,1,spanish,15
ac,8098,2599,82,15,15,3,1,0.2,spanish,19
ods,8098,2599,32,9,11,0,1.2222222222222223,0,spanish,19
routines,8098,2599,60,6,10,3,1.6666666666666667,0.5,spanish,19
ac,8098,14423,11,1,1,0,1,0,spanish,22
conv,8098,14423,20,1,4,0,4,0,spanish,22
food,8098,14423,4,0,0,0,NaN,NaN,spanish,22
ods,8098,14423,0,1,0,0,0,0,spanish,22
play,8098,14423,27,0,0,0,NaN,NaN,spanish,22
books,8098,9023,59,9,17,5,1.8888888888888888,0.5555555555555556,spanish,24
conv,8098,9023,62,13,17,12,1.3076923076923077,0.9230769230769231,spanish,24
ods,8098,9023,18,1,0,0,0,0,spanish,24
play,8098,9023,5,0,0,0,NaN,NaN,spanish,24
ac,8098,3974,39,12,13,8,1.0833333333333333,0.6666666666666666,spanish,27
conv,8098,3974,32,1,2,1,2,1,spanish,27
ods,8098,3974,8,5,1,0,0.2,0,spanish,27
conv,8115,16727,82,9,19,0,2.111111111111111,0,spanish,10
ods,8115,16727,18,0,0,0,NaN,NaN,spanish,10
conv,8115,4127,43,18,34,3,1.8888888888888888,0.16666666666666666,spanish,12
ods,8115,4127,6,2,1,0,0.5,0,spanish,12
ac,8115,31708,3,0,0,0,NaN,NaN,spanish,13
conv,8115,31708,12,4,5,1,1.25,0.25,spanish,13
food,8115,31708,16,14,10,2,0.7142857142857143,0.14285714285714285,spanish,13
ods,8115,31708,38,8,5,0,0.625,0,spanish,13
routines,8115,31708,31,0,0,0,NaN,NaN,spanish,13
ac,8115,27427,29,36,23,4,0.6388888888888888,0.1111111111111111,spanish,17
ods,8115,27427,30,7,4,0,0.5714285714285714,0,spanish,17
play,8115,27427,12,2,5,0,2.5,0,spanish,17
routines,8115,27427,55,30,33,2,1.1,0.06666666666666667,spanish,17
ac,8115,31027,8,3,4,0,1.3333333333333333,0,spanish,18
ods,8115,31027,31,16,5,0,0.3125,0,spanish,18
routines,8115,31027,33,9,22,1,2.4444444444444446,0.1111111111111111,spanish,18
ac,8115,25927,40,5,17,1,3.4,0.2,spanish,9
ods,8115,25927,121,10,16,0,1.6,0,spanish,9
books,8130,14406,148,21,63,3,3,0.14285714285714285,spanish,10
conv,8130,14406,21,3,9,1,3,0.3333333333333333,spanish,10
ods,8130,14406,15,6,9,0,1.5,0,spanish,10
ac,8130,20405,4,0,0,0,NaN,NaN,spanish,3
conv,8130,20405,20,8,9,3,1.125,0.375,spanish,3
food,8130,20405,48,29,40,4,1.3793103448275863,0.13793103448275862,spanish,3
ods,8130,20405,0,3,0,0,0,0,spanish,3
ac,8130,18905,3,2,1,0,0.5,0,spanish,4
conv,8130,18905,32,18,25,5,1.3888888888888888,0.2777777777777778,spanish,4
ods,8130,18905,0,8,0,0,0,0,spanish,4
play,8130,18905,18,16,13,2,0.8125,0.125,spanish,4
ac,8130,3240,100,28,69,7,2.4642857142857144,0.25,spanish,5
ods,8130,3240,21,4,10,0,2.5,0,spanish,5
ac,8130,17405,95,17,29,3,1.7058823529411764,0.17647058823529413,spanish,6
conv,8130,17405,6,1,3,1,3,1,spanish,6
ods,8130,17405,4,2,3,0,1.5,0,spanish,6
routines,8130,17405,26,7,12,3,1.7142857142857142,0.42857142857142855,spanish,6
ac,8130,2340,44,4,15,2,3.75,0.5,spanish,7
books,8130,2340,50,13,28,7,2.1538461538461537,0.5384615384615384,spanish,7
ods,8130,2340,8,17,4,1,0.23529411764705882,0.058823529411764705,spanish,7
books,8144,37537,118,45,95,23,2.111111111111111,0.5111111111111111,spanish,1
play,8144,37537,36,19,34,12,1.7894736842105263,0.631578947368421,spanish,1
ac,8144,33037,70,48,64,16,1.3333333333333333,0.3333333333333333,spanish,10
ods,8144,33037,23,5,7,0,1.4,0,spanish,10
play,8144,33037,14,8,13,8,1.625,1,spanish,10
routines,8144,33037,66,33,57,22,1.7272727272727273,0.6666666666666666,spanish,10
books,8144,18232,171,36,104,13,2.888888888888889,0.3611111111111111,spanish,2
ods,8144,18232,1,0,0,0,NaN,NaN,spanish,2
conv,8144,36637,16,7,14,4,2,0.5714285714285714,spanish,3
ods,8144,36637,14,8,8,1,1,0.125,spanish,3
play,8144,36637,153,42,84,18,2,0.42857142857142855,spanish,3
conv,8144,21742,129,23,59,19,2.5652173913043477,0.8260869565217391,spanish,5
ods,8144,21742,56,0,0,0,NaN,NaN,spanish,5
conv,8144,38137,109,62,89,25,1.435483870967742,0.4032258064516129,spanish,8
ods,8144,38137,23,6,10,2,1.6666666666666667,0.3333333333333333,spanish,8
play,8144,38137,33,23,31,6,1.3478260869565217,0.2608695652173913,spanish,8
routines,8144,38137,14,4,9,3,2.25,0.75,spanish,8
ac,8216,12669,22,11,21,3,1.9090909090909092,0.2727272727272727,spanish,2
food,8216,12669,27,10,15,0,1.5,0,spanish,2
ods,8216,12669,7,3,4,0,1.3333333333333333,0,spanish,2
conv,8216,7168,106,52,78,10,1.5,0.19230769230769232,spanish,3
ods,8216,7168,0,3,0,0,0,0,spanish,3
conv,8216,7768,63,30,38,1,1.2666666666666666,0.03333333333333333,spanish,4
ods,8216,7768,0,1,0,0,0,0,spanish,4
ac,8216,19265,37,24,33,7,1.375,0.2916666666666667,spanish,5
conv,8216,19265,4,0,0,0,NaN,NaN,spanish,5
ods,8216,19265,0,12,0,0,0,0,spanish,5
ac,8216,11469,12,5,6,0,1.2,0,spanish,6
conv,8216,11469,7,3,5,0,1.6666666666666667,0,spanish,6
ods,8216,11469,1,10,0,0,0,0,spanish,6
play,8216,11469,47,25,45,2,1.8,0.08,spanish,6
ac,8216,4768,69,63,67,15,1.0634920634920635,0.23809523809523808,spanish,7
food,8216,4768,14,5,7,1,1.4,0.2,spanish,7
ods,8216,4768,0,15,0,0,0,0,spanish,7
routines,8216,4768,2,1,1,1,1,1,spanish,7
